Altitude(ft),Download Speed,Lat,Lon,Upload Speed,Latency,Alt
28.88030624,157.767,42.34999847,-71.10399628,28,61.653,28.88030624
28.73876762,20.391,42.36299896,-71.02200317,55,13.828,28.73876762
28.73787498,20.391,42.36299896,-71.02200317,55,13.828,28.73787498
28.73757744,20.391,42.36299896,-71.02200317,55,13.828,28.73757744
28.73773766,28.558,42.36199951,-71.02400208,35,25.122,28.73773766
28.73660851,28.558,42.36199951,-71.02400208,35,25.122,28.73660851
28.73445702,28.558,42.36199951,-71.02400208,35,25.122,28.73445702
28.73414803,28.558,42.36199951,-71.02400208,35,25.122,28.73414803
28.73414803,28.558,42.36199951,-71.02400208,35,25.122,28.73414803
28.73408699,28.558,42.36199951,-71.02400208,35,25.122,28.73408699
28.7317791,28.558,42.36199951,-71.02400208,35,25.122,28.7317791
28.73124886,28.558,42.36199951,-71.02400208,35,25.122,28.73124886
28.73077202,28.558,42.36199951,-71.02400208,35,25.122,28.73077202
28.72957802,28.558,42.36199951,-71.02400208,35,25.122,28.72957802
28.72839928,28.558,42.36199951,-71.02400208,35,25.122,28.72839928
28.72705269,28.558,42.36199951,-71.02400208,35,25.122,28.72705269
28.72598839,28.558,42.36199951,-71.02400208,35,25.122,28.72598839
28.72498894,28.558,42.36199951,-71.02400208,35,25.122,28.72498894
28.71902275,6.548,42.36399841,-71.01399994,38,2.981,28.71902275
28.71129036,12.689,42.36800003,-71.01100159,36,0.752,28.71129036
28.70797539,18.846,42.37099838,-71.01000214,45,1.085,28.70797539
28.70360374,11.127,42.3730011,-71.00900269,37,0.481,28.70360374
28.69859886,16.607,42.37599945,-71.00800323,44,3.455,28.69859886
28.69468498,18.875,42.37799835,-71.00499725,41,6.001,28.69468498
28.71775627,16.486,42.36399841,-71.01200104,48,29.589,28.71775627
29.28441238,2.344,28.42900085,-81.2990036,32,12.34,29.28441238
29.2842617,2.344,28.42900085,-81.2990036,43,16.81,29.2842617
29.28421974,2.344,28.42900085,-81.2990036,31,29.589,29.28421974
29.28432274,2.344,28.42900085,-81.2990036,31,22.042,29.28432274
29.23729897,0.927,28.42900085,-81.2990036,47,27.659,29.23729897
28.73611069,28.056,42.36299896,-71.02300262,31,29.96,28.73611069
28.73675156,27.943,42.36299896,-71.02400208,31,29.96,28.73675156
28.73526001,28.869,42.36299896,-71.02400208,34,30.047,28.73526001
28.88218498,31.915,42.34899902,-71.10399628,41,29.864,28.88218498
28.88215637,47.233,42.34899902,-71.10399628,41,29.864,28.88215637
28.88219833,57.767,42.34899902,-71.10399628,41,19.04,28.88219833
28.88213921,34.097,42.34899902,-71.10399628,44,20.659,28.88213921
28.88220024,39.91,42.34899902,-71.10399628,45,21.61,28.88220024
28.88226128,41.421,42.34899902,-71.10399628,45,21.61,28.88226128
28.88214302,45.839,42.34899902,-71.10399628,45,21.61,28.88214302
